,ZipCode,Address,LandUse,OwnerType,LotArea,BldgArea,NumBldgs,UnitsRes,UnitsTotal,LotFront,BldgFront,AssessLand,AssessTot,YearBuilt,YearAlter,IfAlter,ResidFAR,CommFAR,FacilFAR,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_10,LandUse_11,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Population,PopDensity,MedIncome,AvgIncome,PerCapitaIncome,HighIncomeHouse,NumofHouses,NumofCondos,EduRate,UnemployedRate,MarriedRate,DivorcedRate,LandUseStr,Zone
45,10004,2 BROADWAY,5,P,72130,1529480,1,0,30,307.42,287,28170000,167409450,1958,1999,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
54,10004,80 BROAD STREET,5,P,13135,361710,1,0,22,131.08,131,5895000,23765850,1935,1985,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
59,10004,2 WHITEHALL STREET,8,X,63805,320665,1,0,0,191.08,191.08,25841250,49698900,1907,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Public Facility,L Manhattan
61,10004,1 BROADWAY,5,P,17025,180646,1,0,28,96.33,96.33,4905000,16934850,1900,1982,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
62,10004,11 BROADWAY,5,P,28814,434220,1,0,50,162.33,152,5625000,29257650,1900,1920,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
63,10004,25 BROADWAY,5,P,48071,809401,1,0,12,202.92,203,18539550,84184200,1921,2010,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
64,10006,21 WEST STREET,3,P,13465,335746,1,293,295,75,75,3433500,28481400,1931,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Multi Faml. w Elevator,L Manhattan
65,10004,17 BATTERY PLACE,4,P,64633,1202417,2,500,602,180.67,0,15867000,103923450,1902,1998,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Resi. & Cml.,L Manhattan
67,10280,22 BATTERY PLACE,5,C,83100,28732,1,0,1,77,40,3253500,7381350,1910,2012,1,10,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Cml. & Office,L Manhattan
69,10280,18 1 PLACE,8,X,64432,114100,1,0,2,214,0,7785000,35468100,1997,2002,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Public Facility,L Manhattan
71,10280,50 BATTERY PLACE,3,X,31141,239165,1,208,209,200,198,5580000,18171000,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Multi Faml. w Elevator,L Manhattan
72,10280,70 BATTERY PLACE,3,X,29700,230766,1,209,210,198,0,5355000,17366850,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Multi Faml. w Elevator,L Manhattan
73,10280,55 BATTERY PLACE,8,O,24337,134082,1,0,1,199,0,6073200,22563900,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Public Facility,L Manhattan
74,10280,345 SOUTH END AVENUE,4,O,220732,1881621,6,1712,1722,257.17,257,39734550,155637000,1983,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
76,10007,225 LIBERTY STREET,5,O,199346,2267925,2,0,1,489,125,76950450,202541400,1987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6988,43135,250001,441278,184886,0.598,3011,1447,0.948,0.015,0.516,0.07,Cml. & Office,L Manhattan
80,10282,20 RIVER TERRACE,3,X,16653,356786,1,293,294,71,71,3073500,55828350,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
81,10282,211 NORTH END AVENUE,3,X,14451,278142,1,253,256,196,196,2601000,41383800,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
82,10282,325 NORTH END AVENUE,3,X,18270,356483,1,274,276,196,0,4500000,47582100,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
83,10282,400 CHAMBERS STREET,3,O,38225,484000,2,396,400,141.75,202,6075000,52859250,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
84,10282,455 NORTH END AVENUE,3,O,19600,239185,1,218,218,196,0,3600000,48675600,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
85,10282,399 CHAMBERS STREET,3,O,10292,357000,1,340,341,100,0,2304000,43272000,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
86,10282,345 CHAMBERS STREET,8,O,60085,450000,1,0,1,371.69,371.69,11340000,65853900,1989,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Public Facility,L Manhattan
88,10282,201 WARREN STREET,3,X,6323,244617,1,151,152,73.42,135.25,2250000,27320400,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
90,10282,200 WEST STREET,5,X,97076,2152863,1,0,1,286.68,200,52420950,316388250,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Cml. & Office,L Manhattan
