,ZipCode,Address,LandUse,OwnerType,LotArea,BldgArea,NumBldgs,UnitsRes,UnitsTotal,LotFront,BldgFront,AssessLand,AssessTot,YearBuilt,YearAlter,IfAlter,ResidFAR,CommFAR,FacilFAR,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_10,LandUse_11,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Population,PopDensity,MedIncome,AvgIncome,PerCapitaIncome,HighIncomeHouse,NumofHouses,NumofCondos,EduRate,UnemployedRate,MarriedRate,DivorcedRate,LandUseStr,Zone
16504,10036,694 8 AVENUE,5,P,5000,23000,2,6,12,50.17,50.17,589500,2983500,1900,1998,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16508,10036,222 WEST 45 STREET,5,P,25305,63175,2,0,1,126.04,95,3780000,4894200,1912,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16509,10036,1515 BROADWAY,5,P,65765,1721672,1,0,1,200.83,200.83,53550000,353898000,1970,2013,1,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16514,10036,724 8 AVENUE,4,P,1237,4912,1,0,2,18.75,18.75,1125000,1595700,1920,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16515,10036,728 8 AVENUE,4,P,1237,3648,1,0,1,18.75,19,234900,777150,1920,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16516,10036,730 8 AVENUE,4,P,1238,3950,1,6,7,18.75,19,165282,582985,1920,1983,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16523,10036,1535 BROADWAY,5,P,74287,1800000,1,0,7,207.92,80.08,86850000,450268650,1985,2014,1,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16525,10036,252 WEST 46 STREET,4,P,1674,4645,1,2,5,16.67,16.67,121950,868950,1920,1984,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16534,10036,235 WEST 46 STREET,5,P,15062,215879,1,0,2,150,150,21780000,50515200,1961,2012,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16535,10036,227 WEST 46 STREET,8,P,7531,47123,1,0,1,75,75,2682000,7377750,1919,2004,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Public Facility,Chelsea & Clinton
16544,10036,252 WEST 47 STREET,2,P,2510,10175,1,20,22,25,25,338850,2641950,1920,2008,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Multi Faml. ,Chelsea & Clinton
16545,10036,254 WEST 47 STREET,5,P,2511,10750,1,0,2,25,25,199800,836100,1925,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16548,10036,200 WEST 47 STREET,9,C,3324,3000,1,0,1,149.17,60,832500,4608000,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Open Space,Chelsea & Clinton
16554,10036,770 8 AVENUE,4,P,13983,463143,1,464,465,139.83,139,4950000,53632350,2001,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16555,10036,261 WEST 47 STREET,5,P,8800,20022,1,0,3,75,75,1260000,11025450,1926,2004,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16556,10036,257 WEST 47 STREET,10,P,5175,20072,1,0,1,50,50,1082250,2581200,1930,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Parking,Chelsea & Clinton
16561,10036,234 WEST 48 STREET,5,P,9550,117102,1,0,3,101,101,8415000,26261100,1927,1989,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16562,10036,244 WEST 48 STREET,4,P,1686,4466,1,8,9,22,22,149717,585000,1910,1989,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16563,10036,246 WEST 48 STREET,4,P,1754,4466,1,15,16,22,22,199800,900450,1910,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Resi. & Cml.,Chelsea & Clinton
16564,10036,782 8 AVENUE,8,C,5900,11218,1,0,0,60.83,60.83,1764000,2703150,1974,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Public Facility,Chelsea & Clinton
16568,10036,219 WEST 48 STREET,5,P,8034,7200,1,0,1,80,83,1350000,1856700,1924,1989,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16572,10019,1601 BROADWAY,5,P,35275,843131,1,0,10,202.25,202.08,47700000,116770500,1987,2005,1,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16576,10019,240 WEST 49 STREET,5,P,4017,21273,1,0,1,40,40,1935000,4200750,1925,1990,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16577,10019,244 WEST 49 STREET,5,P,8034,57606,1,0,16,80,80,1309500,2800350,1907,1983,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16583,10019,241 WEST 49 STREET,8,X,8156,8064,1,0,2,78,78,1197000,1848150,1910,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16584,10019,239 WEST 49 STREET,8,X,1485,6555,1,0,1,18,18,232200,477450,1910,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16588,10019,750 7 AVENUE,5,P,22015,561139,1,0,0,150.42,100.42,17100000,102460950,1988,1983,1,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16590,10019,1628 BROADWAY,5,P,2800,8034,1,0,3,50.25,50.25,2025000,4162500,1911,0,0,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16591,10019,1625 BROADWAY,5,P,2025,3915,1,0,2,25,25,657000,2798100,1910,0,0,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16593,10019,214 WEST 50 STREET,4,P,2008,7550,1,0,1,20,20,254700,1053900,1920,1987,1,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16595,10019,218 WEST 50 STREET,5,P,6025,84577,1,0,1,60,60,2213100,20139750,2012,0,0,10,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16598,10019,830 8 AVENUE,4,P,1785,17811,1,21,22,25.5,25.5,1205100,3770550,1985,2010,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16601,10019,1648 BROADWAY,5,P,7800,95962,1,0,87,41.58,41.58,3510000,11724750,1922,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16602,10019,1631 BROADWAY,5,P,90400,2438059,1,0,47,201,170,61200000,417500000,1972,1989,1,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16603,10019,834 8 AVENUE,3,P,15058,215099,1,278,285,150.58,151,4050000,23049900,1925,1981,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16607,10019,251 WEST 51 STREET,4,P,2209,5536,1,2,3,22,22,216450,1069650,1920,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16609,10019,217 WEST 51 STREET,8,X,23650,23650,2,0,1,225,20,2601000,4109850,1930,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16611,10019,1652 BROADWAY,5,P,33266,461591,1,0,14,200,196,29340000,75278250,1963,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16614,10019,240 WEST 52 STREET,5,P,4016,12776,3,0,2,40,40,427950,2081700,1920,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16616,10019,256 WEST 52 STREET,4,P,2092,5242,1,3,4,20.83,20.83,517500,869850,1950,1987,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16619,10019,253 WEST 51 STREET,5,P,2568,5309,1,0,2,40.5,40,319050,1094850,1991,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16622,10019,1675 BROADWAY,5,P,23900,751856,1,0,1,126.17,100.33,31005000,153930600,1987,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16623,10019,800 7 AVENUE,4,P,5600,22424,1,1,2,75.42,75.42,1530000,6771600,1939,1987,1,10,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16624,10019,1680 BROADWAY,5,P,26525,701095,1,0,26,126,170.42,30780000,98630550,1969,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16627,10019,1672 BROADWAY,5,P,4975,45743,1,0,83,75.83,75.83,1642500,7538850,1921,1983,1,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16628,10019,229 WEST 53 STREET,5,X,11667,13010,1,0,4,125,125,1233000,1890000,1926,2006,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16630,10019,1691 BROADWAY,3,P,3300,16500,1,28,31,48,48,630000,2364300,1925,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16631,10019,1690 BROADWAY,5,P,30150,596559,1,0,36,201.92,170,15255000,78000000,1968,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16632,10019,1697 BROADWAY,5,P,17527,96067,1,0,2,50.25,50,2578500,10555650,1927,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16637,10019,254 WEST 54 STREET,5,P,5910,60000,1,0,19,50,50,1251000,6515550,1926,1989,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16640,10019,241 WEST 54 STREET,3,P,5784,17690,1,18,20,57.5,58,675000,1971900,1910,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16646,10019,848 7 AVENUE,5,P,7500,78750,1,0,57,75,75,2470500,8145450,1910,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16652,10019,250 WEST 55 STREET,5,P,46442,843564,1,0,1,91.67,240,18334350,172704600,2008,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16656,10019,932 8 AVENUE,4,P,1178,5210,1,4,5,18.83,19,170401,427458,1920,1985,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16658,10019,938 8 AVENUE,5,P,2500,4500,1,0,1,25,25,405000,1326600,1910,2000,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16664,10019,1730 BROADWAY,5,P,29500,519600,1,0,2,207.25,207,27090000,108794250,1950,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16670,10019,944 8 AVENUE,4,P,2500,13104,1,3,5,25,25,900000,1823850,1910,1986,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16671,10019,940 8 AVENUE,5,P,5000,18600,1,0,3,50,50,472500,3230550,1910,2015,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16673,10019,255 WEST 55 STREET,4,P,1414,5800,1,8,9,18.75,19,108961,461097,1920,2001,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16680,10019,888 7 AVENUE,5,P,32425,866359,1,0,103,100.42,186.17,27000000,186197400,1970,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16681,10019,894 7 AVENUE,5,P,11350,124782,1,0,95,100.42,98,9405000,32152050,1917,2012,1,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16686,10019,1776 BROADWAY,5,P,5057,112100,1,0,46,54.25,54.25,4351500,12917700,1927,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Cml. & Office,Chelsea & Clinton
16689,10019,211 WEST 57 STREET,8,X,15062,33497,1,0,2,75,75,4905000,7841700,1875,1950,1,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16690,10019,205 WEST 57 STREET,3,P,17572,167076,1,109,119,100.42,92,7110000,15816600,1900,1989,1,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16692,10019,202 WEST 58 STREET,8,X,7532,76883,1,0,0,75,75,3798000,13384800,1986,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16693,10019,216 WEST 58 STREET,3,P,11055,348263,1,233,234,110,0,3240000,7740000,2013,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16699,10019,990 8 AVENUE,8,P,4624,57670,1,0,1,41,76.25,2466000,6440850,1962,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16700,10019,231 WEST 58 STREET,3,P,2510,56788,1,173,173,25,0,2722050,4072050,2014,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16701,10019,229 WEST 58 STREET,3,P,2500,56788,1,173,173,25,25,2711250,4061250,2014,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16704,10019,215 WEST 58 STREET,8,C,2510,6450,1,0,1,25,25,603000,859950,1920,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16705,10019,213 WEST 58 STREET,8,X,2510,29890,1,1,2,25,25,598500,1373850,1910,1985,1,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Public Facility,Chelsea & Clinton
16706,10019,211 WEST 58 STREET,4,P,2510,9270,1,16,17,25,25,495000,874350,1920,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Resi. & Cml.,Chelsea & Clinton
16707,10019,200 CENTRAL PARK SOUTH,3,P,32635,564196,1,309,314,175,164.75,17640000,59972850,1963,0,0,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16708,10019,210 CENTRAL PARK SOUTH,3,P,10050,122071,1,88,90,100,100,4194000,12993300,1968,0,0,10,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16710,10019,230 CENTRAL PARK SOUTH,3,P,7531,82835,1,75,78,75,75,2772000,8617050,1938,1989,1,10,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42870,62401,94022,144753,89202,0.217,31998,18898,0.936,0.057,0.318,0.095,Multi Faml. w Elevator,Chelsea & Clinton
16712,10036,566 9 AVENUE,7,P,4454,13950,1,0,1,39,36,1566000,2798100,1979,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Transp. & Utility,Chelsea & Clinton
16714,10036,347 WEST 41 STREET,5,P,4945,9875,1,0,1,50,50,327150,688950,1985,1984,1,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24711,56034,75966,115834,73546,0.174,18404,13842,0.951,0.065,0.635,0.088,Cml. & Office,Chelsea & Clinton
16715,10018,641 8 AVENUE,7,O,255000,1500000,1,0,1,197.5,200,81005400,168883650,1950,0,0,10,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5229,16239,105500,144419,79765,0.229,5546,4261,0.941,0.044,0.226,0.068,Transp. & Utility,Chelsea & Clinton
