,AssessTot,LotArea,BldgArea,LotFront,BldgFront,ResidFAR,CommFAR,FacilFAR,YearBuilt,IfAlter,Central Harlem,Chelsea and Clinton,East Harlem,Gramercy Park and Murray Hill,Greenwich Village and Soho,Lower Manhattan,Lower East Side,Upper East Side,Upper West Side,Inwood and Washington Heights,LandUse_01,LandUse_02,LandUse_03,LandUse_04,LandUse_05,LandUse_06,LandUse_07,LandUse_08,LandUse_09,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X
143,65694150.0,19975.0,466820.0,121.5,121.5,10.0,15.0,15.0,1956.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
144,103000000.0,44757.0,974958.0,214.08,214.08,10.0,15.0,15.0,1961.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
145,1297350.0,2268.0,15995.0,49.75,50.0,10.0,15.0,15.0,1983.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
146,33463350.0,13220.0,370000.0,88.08,88.08,10.0,15.0,15.0,1932.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
147,13143600.0,13971.0,205940.0,80.33,80.0,10.0,15.0,15.0,1913.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
149,27798300.0,23132.0,406025.0,130.75,131.0,10.0,15.0,15.0,1968.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
152,47382750.0,24572.0,518034.0,106.67,107.0,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
153,11771550.0,14970.0,237000.0,107.0,107.0,10.0,15.0,15.0,1902.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
158,41176350.0,17623.0,400531.0,112.5,112.5,10.0,15.0,15.0,1929.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
162,18546750.0,11934.0,239121.0,116.0,116.0,10.0,15.0,15.0,1926.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
163,25876800.0,12919.0,292466.0,119.75,118.0,10.0,15.0,15.0,1962.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
171,864000.0,2025.0,7875.0,21.25,21.0,10.0,15.0,15.0,1920.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
175,1641150.0,2399.0,12000.0,38.0,38.0,10.0,15.0,15.0,1920.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
176,6794100.0,8409.0,105000.0,92.08,92.0,10.0,15.0,15.0,1907.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
177,4857750.0,3234.0,24238.0,42.83,42.0,10.0,15.0,15.0,1920.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
178,866700.0,1443.0,3469.0,16.25,16.0,10.0,15.0,15.0,1903.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
180,985608.0,1738.0,8690.0,17.83,18.0,10.0,15.0,15.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
181,941010.0,1824.0,10944.0,18.33,18.33,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
182,68207400.0,26068.0,661283.0,230.33,230.33,10.0,15.0,15.0,1928.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
183,7249050.0,9010.0,97596.0,98.75,98.75,10.0,15.0,15.0,1920.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
193,75163950.0,35496.0,782883.0,146.42,128.0,10.0,15.0,15.0,1983.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
197,59089050.0,24400.0,487404.0,138.83,136.0,10.0,15.0,15.0,1972.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
198,874800.0,1867.0,6800.0,25.83,26.0,10.0,15.0,15.0,1920.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
201,311782509.0,160692.0,3583167.0,415.0,382.0,10.0,15.0,15.0,1973.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
202,69432300.0,25779.0,541568.0,214.83,171.0,10.0,15.0,15.0,1969.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203,64362150.0,22957.0,473460.0,55.0,54.0,10.0,15.0,15.0,1969.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
205,1839150.0,11346.0,19568.0,360.0,162.0,10.0,15.0,15.0,1920.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
206,114000000.0,42176.0,973587.0,216.0,190.0,10.0,15.0,15.0,1987.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
207,74371050.0,48741.0,990250.0,216.0,215.0,10.0,15.0,15.0,1968.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
209,6314850.0,199625.0,199625.0,328.42,14.0,10.0,3.4,10.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
210,7717500.0,202275.0,202275.0,352.25,98.0,10.0,3.4,10.0,1982.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
211,6291900.0,169425.0,169425.0,273.58,50.0,10.0,3.4,10.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
212,41600700.0,23475.0,582412.0,103.0,0.0,10.0,15.0,15.0,1929.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
213,22785455.0,17017.0,260017.0,118.58,119.0,10.0,15.0,15.0,1965.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
216,39434850.0,22399.0,463664.0,117.25,108.0,10.0,15.0,15.0,1969.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
217,59902200.0,27600.0,566858.0,251.33,211.0,10.0,15.0,15.0,1973.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
219,3347100.0,4179.0,50044.0,49.0,48.0,10.0,15.0,15.0,1905.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
220,1776600.0,4235.0,22614.0,47.0,47.0,10.0,15.0,15.0,1920.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
221,73072800.0,48946.0,1075808.0,255.17,179.0,10.0,15.0,15.0,1961.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
223,849760.0,1608.0,5811.0,18.5,18.5,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
225,18481051.0,10576.0,90163.0,174.0,0.0,10.0,15.0,15.0,1956.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
226,204790950.0,53632.0,1617206.0,262.0,296.0,10.0,15.0,15.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
227,22082400.0,12175.0,281755.0,99.33,99.0,10.0,15.0,15.0,1928.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
231,3991050.0,6003.0,24000.0,107.0,108.0,10.0,15.0,15.0,1947.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
232,1681200.0,4613.0,42000.0,32.17,24.0,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
237,37809000.0,17684.0,290116.0,147.75,120.0,10.0,15.0,15.0,1930.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
239,37160550.0,20684.0,527605.0,143.92,143.0,10.0,15.0,15.0,1912.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
240,1998450.0,6881.0,33529.0,59.67,59.67,10.0,15.0,15.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
241,19124550.0,14213.0,289049.0,70.08,70.0,10.0,15.0,15.0,1927.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
242,73500000.0,34360.0,1061286.0,150.0,150.0,10.0,15.0,15.0,1931.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
243,10411650.0,11400.0,108663.0,86.67,86.67,10.0,15.0,15.0,1954.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
245,215204850.0,112555.0,2224000.0,207.5,220.0,10.0,15.0,15.0,1963.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
248,41470650.0,14950.0,364390.0,123.17,123.17,10.0,15.0,15.0,1922.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
249,74647350.0,32947.0,839749.0,160.0,160.0,10.0,15.0,15.0,1912.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
251,136000000.0,52636.0,1141276.0,143.9,84.0,10.0,15.0,15.0,1967.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
252,58149450.0,98432.0,15928.0,391.42,109.0,10.0,15.0,15.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
253,41372550.0,18615.0,432093.0,67.67,68.0,10.0,15.0,15.0,1907.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
